sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_gan_cnn_metric_wins,cnn_gan_gan_metric_wins,cnn_gan_ties,baseline_bicubic_metric_wins,baseline_cnn_metric_wins,baseline_gan_metric_wins,baseline_metric_ties,crop_mae_bicubic,crop_mae_cnn,crop_mae_gan,crop_rmse_bicubic,crop_rmse_cnn,crop_rmse_gan,question,groups,crop_panel,full_panel,forced_reason
42,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,2,10,3,0,0.563796412894626,0.6479595563692055,0.8123098077038958,0.9238557804387484,0.9888361061041482,1.1973659421497957,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_042_crop.png,panels_full/sample_042_full.png,
43,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,1,10,4,0,0.4601572317655155,0.5744874656283355,0.718032125643731,0.7356625815808643,0.8590438544236313,1.0152262414941768,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_043_crop.png,panels_full/sample_043_full.png,
44,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,2,10,3,0,0.4016050468227149,0.48897966617354544,0.6409449674007192,0.6228539208302998,0.712802704993177,0.890454192208357,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_044_crop.png,panels_full/sample_044_full.png,
45,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,2,9,4,0,0.4225374189282593,0.512999492556246,0.669166669010774,0.6426850099185494,0.7361997814923843,0.9336401415416528,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_045_crop.png,panels_full/sample_045_full.png,
46,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,2,11,2,0,0.44318446495273744,0.5635063579833149,0.7175894098698337,0.6576785075902672,0.7945685558412006,0.9655651960089452,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_046_crop.png,panels_full/sample_046_full.png,
47,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,2,10,3,0,0.42592209838065176,0.5508319661433052,0.684432053444143,0.6492454752078546,0.7824262634219896,0.9111116201476775,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_047_crop.png,panels_full/sample_047_full.png,
48,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,11,4,0,2,10,3,0,0.4219282415612906,0.5194248316155426,0.6540574511161321,0.644847415734154,0.756014216777816,0.8895627656277386,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_048_crop.png,panels_full/sample_048_full.png,
49,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,2,11,2,0,0.4295564244232446,0.5331058535174088,0.6697615073128691,0.6580866914320814,0.7682917552384255,0.9247571572598442,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_049_crop.png,panels_full/sample_049_full.png,
50,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,3,9,3,0,0.4578006166591513,0.5534672502536705,0.6956280877188601,0.7148268537417244,0.822957612199189,0.9853148597367491,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_050_crop.png,panels_full/sample_050_full.png,
51,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,2,10,3,0,0.5003778800934015,0.5860704371891916,0.7319280879359575,0.7898298221294977,0.885524384148831,1.0522951339046493,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_051_crop.png,panels_full/sample_051_full.png,
52,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,4,9,2,0,0.5497022063249096,0.6328229271065356,0.8011631378008315,0.8740249018849537,0.959024789154555,1.1522354444722949,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_052_crop.png,panels_full/sample_052_full.png,
53,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,5,7,3,0,0.6020865239476916,0.6704870405340421,0.9039129751113069,0.953105308682602,1.0149425673256312,1.277404655308331,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_053_crop.png,panels_full/sample_053_full.png,
54,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,3,9,3,0,0.6575284393400489,0.7193085329208406,0.9478957705003268,1.0292092997158155,1.0702080507064815,1.362539155740902,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_054_crop.png,panels_full/sample_054_full.png,
55,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,2,10,3,0,0.7012087617325596,0.7685798869519931,1.0008083707362676,1.0856684897073858,1.1357275032708503,1.415624511537598,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_055_crop.png,panels_full/sample_055_full.png,
56,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,3,9,3,0,0.745987892704652,0.8049945020680752,1.0307367218120635,1.133217243261666,1.1843497958318296,1.4641859625946734,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_056_crop.png,panels_full/sample_056_full.png,
57,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,2,10,3,0,0.7778865615507675,0.8184108132173787,1.080871406976803,1.1771688012135586,1.2121986656256665,1.516394798374953,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_057_crop.png,panels_full/sample_057_full.png,
58,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,2,10,3,0,0.8068618851455176,0.837060915578113,1.0839806275856971,1.2149719383941433,1.2333688144783936,1.550834329014577,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_058_crop.png,panels_full/sample_058_full.png,
59,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,0,2,9,4,0,0.8206021277899345,0.8436941840722284,1.0830775079403976,1.233442009944505,1.2391849728677673,1.5630865493900614,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_059_crop.png,panels_full/sample_059_full.png,
60,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,0,3,9,3,0,0.8415050537773641,0.8709267644614738,1.0929190315345476,1.2543145448716626,1.2691707299958601,1.5830132857695427,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_060_crop.png,panels_full/sample_060_full.png,
61,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,0,2,9,4,0,0.8585553337626698,0.887016719008534,1.125254999712415,1.2771381105772575,1.289520117590274,1.6165164019065725,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_061_crop.png,panels_full/sample_061_full.png,
62,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,9,6,0,2,8,5,0,0.8579927399342705,0.8639436721042147,1.1130948366734084,1.2617478718967607,1.2483570839936946,1.5674598527605061,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_062_crop.png,panels_full/sample_062_full.png,
63,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,9,6,0,2,8,5,0,0.8379293877125746,0.8095209560947842,1.075144790802442,1.2413615054039964,1.1773643928175372,1.5161740104730832,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_063_crop.png,panels_full/sample_063_full.png,
64,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,0,2,6,7,0,0.663125944401836,0.6559970314030943,0.8888797921978039,1.0502040395801853,1.0121963030848153,1.2891589654624234,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_064_crop.png,panels_full/sample_064_full.png,
65,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,0,5,3,7,0,0.5475077629397856,0.5793850496423693,0.7944832430488168,0.8728027460696043,0.8963141231680752,1.1460308103754995,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",direct_cnn;distributional_gan;gan_distributional_cases;gan_three_method_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_065_crop.png,panels_full/sample_065_full.png,
66,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,5,5,5,0,0.47902774254311226,0.5194496363787039,0.7364974407617411,0.7693370682470908,0.7967017668204508,1.081448319921417,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_066_crop.png,panels_full/sample_066_full.png,
67,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,0,6,3,6,0,0.44931155328726163,0.4935635953124438,0.6993371928535271,0.7266570779477924,0.761917406374704,1.0308363694705587,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_067_crop.png,panels_full/sample_067_full.png,
68,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,0,9,2,4,0,0.4904402300536458,0.5157453262064519,0.7181786364624714,0.8075272953521727,0.8135358841392227,1.0647944139345398,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",bicubic_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_068_crop.png,panels_full/sample_068_full.png,
69,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,8,7,0,7,2,6,0,0.6240451322552326,0.6362517824867973,0.8559250364814943,0.971411094760297,0.96719511406204,1.2418547219342342,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_069_crop.png,panels_full/sample_069_full.png,
70,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,0,4,6,5,0,0.7714480441535124,0.7850868931258447,1.0829316608437511,1.1719194008206812,1.1648295834445044,1.534348790648302,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_070_crop.png,panels_full/sample_070_full.png,
71,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,0,4,4,7,0,0.857931078322581,0.8966886712435371,1.1514754187464131,1.3123601478848317,1.3449293429626825,1.663085023205619,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_071_crop.png,panels_full/sample_071_full.png,
72,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,0,3,7,5,0,0.9139059269143036,0.9523108564108043,1.2101527721679304,1.3997474432013188,1.4217420082614973,1.7318308203879953,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_072_crop.png,panels_full/sample_072_full.png,
73,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,6,4,5,0,0.9773921064622119,1.0109250024729408,1.2725984398100627,1.495392561754761,1.5132695174257182,1.8284698342295882,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_073_crop.png,panels_full/sample_073_full.png,
74,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,5,2,8,0,1.0289041550369438,1.0558645840777898,1.3194513944187884,1.5553832832130712,1.5585742377718712,1.8920292131119,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_074_crop.png,panels_full/sample_074_full.png,
75,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,0,8,3,4,0,1.0699140759141301,1.088487872077967,1.3215553220758738,1.5996352065638222,1.5853385101533224,1.8922880124419057,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_075_crop.png,panels_full/sample_075_full.png,
76,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,0,5,5,5,0,1.1136115813659853,1.1287949493117049,1.3923898437487878,1.6506076542709787,1.6452327890030884,1.98693153666377,Neighbor controls around sample 77: is the MT-GAN selection locally stable or sample-specific?,adjacent_cluster_76_78;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_076_crop.png,panels_full/sample_076_full.png,adjacent control before sample 77
77,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,0,4,4,7,0,1.11004140464167,1.123817759442536,1.3803319463350636,1.6607150283221168,1.6414273468063652,1.9831831763436576,Neighbor controls around sample 77: is the MT-GAN selection locally stable or sample-specific?,adjacent_cluster_76_78;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;gan_three_method_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_077_crop.png,panels_full/sample_077_full.png,strong MT-GAN anchor
78,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,9,6,0,2,7,6,0,1.1059942098430475,1.1165921878533118,1.3979704144963763,1.649606854888643,1.6204373541715837,1.982027116631888,Neighbor controls around sample 77: is the MT-GAN selection locally stable or sample-specific?,adjacent_cluster_76_78;candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_078_crop.png,panels_full/sample_078_full.png,adjacent control after sample 77
79,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,9,6,0,1,8,6,0,1.1097156123246532,1.1005542192314168,1.3998434249704588,1.635047247033198,1.5804525377196725,1.977852464675546,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_079_crop.png,panels_full/sample_079_full.png,
80,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,10,5,0,1,10,4,0,1.1371280050567294,1.1170997316874856,1.4304518916935194,1.65484159763639,1.5916276140389005,2.011817474083458,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",cnn_three_method_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_080_crop.png,panels_full/sample_080_full.png,lower-confidence MT-GAN limitation case
81,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,2,9,4,0,1.1591122790792725,1.1418581861395796,1.4738194343388022,1.6820102022021877,1.620336941778378,2.0928894927884616,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_081_crop.png,panels_full/sample_081_full.png,
82,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,11,4,0,1,10,4,0,1.1492641850576184,1.1211105365950789,1.421006710404181,1.6838422298199103,1.5970375021511118,2.038374287065603,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_082_crop.png,panels_full/sample_082_full.png,
83,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,0,2,8,5,0,1.130011343631486,1.1228371002513449,1.4494022300938376,1.6539125070270106,1.6021848916823735,2.07588720206861,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_083_crop.png,panels_full/sample_083_full.png,
84,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,0,1,9,5,0,1.1306292613496771,1.109253352454398,1.384647744211252,1.65900184094632,1.568784270429913,1.9846873090005073,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_084_crop.png,panels_full/sample_084_full.png,
