sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_metric_wins,gan_metric_wins,overall_metric_majority,question,groups,crop_panel,full_panel,forced_reason
76,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,CNN,Neighbor controls around sample 77: is the MT-GAN selection locally stable or sample-specific?,adjacent_cluster_76_78;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_076_crop.png,panels_full/sample_076_full.png,adjacent control before sample 77
77,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,GAN,Neighbor controls around sample 77: is the MT-GAN selection locally stable or sample-specific?,adjacent_cluster_76_78;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_077_crop.png,panels_full/sample_077_full.png,strong MT-GAN anchor
78,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,9,6,CNN,Neighbor controls around sample 77: is the MT-GAN selection locally stable or sample-specific?,adjacent_cluster_76_78;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_078_crop.png,panels_full/sample_078_full.png,adjacent control after sample 77
79,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,9,6,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_079_crop.png,panels_full/sample_079_full.png,
80,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,10,5,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",forced_qualitative_set;gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_080_crop.png,panels_full/sample_080_full.png,lower-confidence MT-GAN limitation case
81,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_081_crop.png,panels_full/sample_081_full.png,
82,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,11,4,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_082_crop.png,panels_full/sample_082_full.png,
83,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_083_crop.png,panels_full/sample_083_full.png,
84,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_084_crop.png,panels_full/sample_084_full.png,
85,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_085_crop.png,panels_full/sample_085_full.png,
86,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_086_crop.png,panels_full/sample_086_full.png,
87,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_087_crop.png,panels_full/sample_087_full.png,
88,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_088_crop.png,panels_full/sample_088_full.png,
89,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_089_crop.png,panels_full/sample_089_full.png,
90,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,4,11,GAN,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_090_crop.png,panels_full/sample_090_full.png,GAN-majority / MT-CNN adjacent control near sample 92
91,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,4,11,GAN,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_091_crop.png,panels_full/sample_091_full.png,GAN-majority / MT-CNN adjacent control near sample 92
92,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,4,11,GAN,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,adjacent_cluster_90_93;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_092_crop.png,panels_full/sample_092_full.png,strong MT-GAN anchor
93,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,3,12,GAN,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_093_crop.png,panels_full/sample_093_full.png,GAN-majority / MT-CNN adjacent control near sample 92
94,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,4,11,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_094_crop.png,panels_full/sample_094_full.png,
95,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_095_crop.png,panels_full/sample_095_full.png,
96,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_096_crop.png,panels_full/sample_096_full.png,
97,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_097_crop.png,panels_full/sample_097_full.png,
98,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_098_crop.png,panels_full/sample_098_full.png,
99,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_099_crop.png,panels_full/sample_099_full.png,
100,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_100_crop.png,panels_full/sample_100_full.png,
101,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_101_crop.png,panels_full/sample_101_full.png,
102,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_102_crop.png,panels_full/sample_102_full.png,
103,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_103_crop.png,panels_full/sample_103_full.png,
104,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_104_crop.png,panels_full/sample_104_full.png,
105,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_105_crop.png,panels_full/sample_105_full.png,
106,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_106_crop.png,panels_full/sample_106_full.png,
107,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_107_crop.png,panels_full/sample_107_full.png,
108,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_108_crop.png,panels_full/sample_108_full.png,
109,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_109_crop.png,panels_full/sample_109_full.png,
110,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_110_crop.png,panels_full/sample_110_full.png,
111,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_111_crop.png,panels_full/sample_111_full.png,
112,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_112_crop.png,panels_full/sample_112_full.png,
113,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_113_crop.png,panels_full/sample_113_full.png,
114,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_114_crop.png,panels_full/sample_114_full.png,
115,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_115_crop.png,panels_full/sample_115_full.png,
116,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_116_crop.png,panels_full/sample_116_full.png,
117,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_117_crop.png,panels_full/sample_117_full.png,
118,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_118_crop.png,panels_full/sample_118_full.png,
119,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_119_crop.png,panels_full/sample_119_full.png,
120,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_120_crop.png,panels_full/sample_120_full.png,
121,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_121_crop.png,panels_full/sample_121_full.png,
122,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_122_crop.png,panels_full/sample_122_full.png,
123,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_123_crop.png,panels_full/sample_123_full.png,
124,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_124_crop.png,panels_full/sample_124_full.png,
125,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_125_crop.png,panels_full/sample_125_full.png,
126,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_126_crop.png,panels_full/sample_126_full.png,
127,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_127_crop.png,panels_full/sample_127_full.png,
128,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_128_crop.png,panels_full/sample_128_full.png,
129,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_129_crop.png,panels_full/sample_129_full.png,
130,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_130_crop.png,panels_full/sample_130_full.png,
131,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_131_crop.png,panels_full/sample_131_full.png,
132,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_132_crop.png,panels_full/sample_132_full.png,
133,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_133_crop.png,panels_full/sample_133_full.png,
134,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_134_crop.png,panels_full/sample_134_full.png,
135,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_135_crop.png,panels_full/sample_135_full.png,
136,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_136_crop.png,panels_full/sample_136_full.png,
137,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_137_crop.png,panels_full/sample_137_full.png,
138,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_138_crop.png,panels_full/sample_138_full.png,
139,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_139_crop.png,panels_full/sample_139_full.png,
140,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_140_crop.png,panels_full/sample_140_full.png,
141,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_141_crop.png,panels_full/sample_141_full.png,
142,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_142_crop.png,panels_full/sample_142_full.png,
143,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_143_crop.png,panels_full/sample_143_full.png,
144,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_144_crop.png,panels_full/sample_144_full.png,
145,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_145_crop.png,panels_full/sample_145_full.png,
146,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_146_crop.png,panels_full/sample_146_full.png,
